name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",Japan,Asia,1277rev,,2011,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038980,https://www.sekaiisan.pref.iwate.jp/,http://www.wikidata.org/entity/Q2896261,141.11027778,38.98861111
Hiroshima Peace Memorial,Japan,Asia,775,,1996,http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q231140,132.453611111,34.395555555
Historic Center of Sucre,Bolivia,South America,,,1991,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q135448360,-65.259626,-19.047929
Historic Centre of Arequipa,Peru,South America,1016,,2000,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q8343756,-71.533333333,-16.4
Historic Centre of Brugge,Belgium,Europe,996,,2000,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q5762117,3.22527,51.20891
Historic centre of Cusco,Peru,South America,,,,,,http://www.wikidata.org/entity/Q28502997,-71.978056,-13.518333
Historic Centre of Guimarães and Couros Zone,Portugal,Europe,1031,,2001,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q2945649,-8.290838,41.445157
Historic Centre of Macau,People's Republic of China,Asia,1110,,2005,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,http://www.wh.mo/pt/,http://www.wikidata.org/entity/Q2601433,113.536,22.191
Historic Centre of Mexico City and Xochimilco,Mexico,North America,412,,1987,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q15924695,-99.13278,19.41833
Historic Centre of Porto,Portugal,Europe,755,,1996,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q3848157,-8.612974,41.143191
Historic Centre of Saint Petersburg and Related Groups of Monuments,Soviet Union,Asia,540bis,,1990,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q616578,30.315555555,59.938888888
